시장,종목명,티커,신호개수,상태,봉수,정지봉제거,비고
NASDAQ100,Intuitive Surgical,ISRG,0,OK,1924,0,cache
NASDAQ100,Keurig Dr Pepper,KDP,1,OK,1924,0,cache
NASDAQ100,KLA Corporation,KLAC,0,OK,1924,0,cache
NASDAQ100,Kraft Heinz,KHC,0,OK,1924,0,cache
NASDAQ100,Lam Research,LRCX,0,OK,1924,0,cache
NASDAQ100,Linde plc,LIN,2,OK,1924,0,cache
NASDAQ100,Lumentum,LITE,3,OK,1924,0,cache
NASDAQ100,Marriott International,MAR,1,OK,1924,0,cache
NASDAQ100,Marvell Technology,MRVL,1,OK,1924,0,cache
NASDAQ100,Mercado Libre,MELI,1,OK,1924,0,cache
NASDAQ100,Meta Platforms,META,0,OK,1924,0,cache
NASDAQ100,Microchip Technology,MCHP,4,OK,1924,0,cache
NASDAQ100,Micron Technology,MU,1,OK,1924,0,cache
NASDAQ100,Microsoft,MSFT,0,OK,1924,0,cache
NASDAQ100,MicroStrategy,MSTR,1,OK,1924,0,cache
NASDAQ100,Mondelez International,MDLZ,1,OK,1924,0,cache
NASDAQ100,Monolithic Power Systems,MPWR,2,OK,1924,0,cache
NASDAQ100,Monster Beverage,MNST,1,OK,1923,0,cache
NASDAQ100,Nebius Group,NBIS,0,OK,464,0,cache
NASDAQ100,"Netflix, Inc.",NFLX,2,OK,1924,0,cache
NASDAQ100,Nvidia,NVDA,3,OK,1924,0,cache
NASDAQ100,NXP Semiconductors,NXPI,1,OK,1924,0,cache
NASDAQ100,O'Reilly Automotive,ORLY,1,OK,1924,0,cache
NASDAQ100,Old Dominion Freight Line,ODFL,0,OK,1924,0,cache
NASDAQ100,Paccar,PCAR,0,OK,1924,0,cache
NASDAQ100,Palantir Technologies,PLTR,1,OK,1484,0,cache
NASDAQ100,Palo Alto Networks,PANW,1,OK,1924,0,cache
NASDAQ100,Paychex,PAYX,2,OK,1924,0,cache
NASDAQ100,PayPal,PYPL,0,OK,1924,0,cache
NASDAQ100,PDD Holdings,PDD,1,OK,1924,0,cache
NASDAQ100,PepsiCo,PEP,2,OK,1924,0,cache
NASDAQ100,Qualcomm,QCOM,0,OK,1924,0,cache
NASDAQ100,Regeneron Pharmaceuticals,REGN,1,OK,1924,0,cache
NASDAQ100,Rocket Lab,RKLB,0,OK,1445,0,cache
NASDAQ100,Roper Technologies,ROP,0,OK,1924,0,cache
NASDAQ100,Ross Stores,ROST,2,OK,1924,0,cache
NASDAQ100,Sandisk,SNDK,0,OK,386,0,cache
NASDAQ100,Seagate Technology,STX,0,OK,1924,0,cache
NASDAQ100,Shopify,SHOP,0,OK,1924,0,cache
NASDAQ100,SpaceX,SPCX,판정불가,데이터 부족,53,0,53봉(220봉 워밍업 미달)
NASDAQ100,Starbucks,SBUX,1,OK,1924,0,cache
NASDAQ100,Synopsys,SNPS,0,OK,1924,0,cache
NASDAQ100,T-Mobile US,TMUS,2,OK,1924,0,cache
NASDAQ100,Take-Two Interactive,TTWO,2,OK,1924,0,cache
NASDAQ100,Teradyne,TER,0,OK,1924,0,cache
NASDAQ100,"Tesla, Inc.",TSLA,0,OK,1924,0,cache
NASDAQ100,Texas Instruments,TXN,1,OK,1924,0,cache
NASDAQ100,Thomson Reuters,TRI,1,OK,1924,0,cache
NASDAQ100,Vertex Pharmaceuticals,VRTX,0,OK,1924,0,cache
NASDAQ100,Walmart,WMT,2,OK,1924,0,cache
NASDAQ100,Warner Bros. Discovery,WBD,0,OK,1924,0,cache
NASDAQ100,Western Digital,WDC,1,OK,1924,0,cache
NASDAQ100,"Workday, Inc.",WDAY,0,OK,1924,0,cache
NASDAQ100,Xcel Energy,XEL,1,OK,1924,0,cache
KOSPI200,삼성전자,005930,1,OK,1881,0,cache
KOSPI200,SK하이닉스,000660,1,OK,1881,0,cache
KOSPI200,SK스퀘어,402340,0,OK,1163,0,cache
KOSPI200,삼성전기,009150,2,OK,1881,0,cache
KOSPI200,LG에너지솔루션,373220,0,OK,1121,0,cache
KOSPI200,현대차,005380,3,OK,1881,0,cache
KOSPI200,삼성바이오로직스,207940,5,OK,1881,0,cache
KOSPI200,KB금융,105560,2,OK,1881,0,cache
KOSPI200,삼성물산,028260,4,OK,1881,0,cache
KOSPI200,삼성생명,032830,4,OK,1881,0,cache
KOSPI200,한화에어로스페이스,012450,4,OK,1863,18,cache
KOSPI200,두산에너빌리티,034020,3,OK,1881,0,cache
KOSPI200,신한지주,055550,4,OK,1881,0,cache
KOSPI200,기아,000270,2,OK,1881,0,cache
KOSPI200,HD현대중공업,329180,1,OK,1209,0,cache
KOSPI200,삼성SDI,006400,0,OK,1881,0,cache
KOSPI200,셀트리온,068270,2,OK,1881,0,cache
KOSPI200,현대모비스,012330,2,OK,1881,0,cache
KOSPI200,SK,034730,0,OK,1881,0,cache
KOSPI200,하나금융지주,086790,0,OK,1881,0,cache
KOSPI200,LG전자,066570,1,OK,1881,0,cache
KOSPI200,NAVER,035420,2,OK,1881,0,cache
KOSPI200,LS ELECTRIC,010120,1,OK,1881,0,cache
KOSPI200,삼성화재,000810,1,OK,1881,0,cache
KOSPI200,HD현대일렉트릭,267260,2,OK,1881,0,cache
KOSPI200,효성중공업,298040,2,OK,1881,0,cache
KOSPI200,POSCO홀딩스,005490,2,OK,1881,0,cache
KOSPI200,한화오션,042660,2,OK,1881,0,cache
KOSPI200,고려아연,010130,1,OK,1881,0,cache
KOSPI200,우리금융지주,316140,0,OK,1854,0,cache
KOSPI200,HD한국조선해양,009540,3,OK,1881,0,cache
KOSPI200,한미반도체,042700,1,OK,1878,3,cache
KOSPI200,SK이노베이션,096770,0,OK,1881,0,cache
KOSPI200,두산,000150,1,OK,1868,13,cache
KOSPI200,한국전력,015760,0,OK,1881,0,cache
KOSPI200,메리츠금융지주,138040,0,OK,1881,0,cache
KOSPI200,SK텔레콤,017670,2,OK,1857,24,cache
KOSPI200,HMM,011200,1,OK,1881,0,cache
KOSPI200,LG화학,051910,0,OK,1881,0,net
KOSPI200,미래에셋증권,006800,4,OK,1881,0,net
KOSPI200,삼성에스디에스,018260,3,OK,1881,0,net
KOSPI200,KT&G,033780,1,OK,1881,0,net
KOSPI200,삼성중공업,010140,2,OK,1869,12,net
KOSPI200,LG,003550,2,OK,1863,18,net
KOSPI200,포스코퓨처엠,003670,2,OK,1881,0,net
KOSPI200,HD현대,267250,2,OK,1878,3,net
KOSPI200,에이피알,278470,2,OK,601,9,net
KOSPI200,S-Oil,010950,1,OK,1881,0,net
KOSPI200,기업은행,024110,2,OK,1881,0,net
KOSPI200,카카오,035720,5,OK,1878,3,net
KOSPI200,현대글로비스,086280,2,OK,1881,0,net
KOSPI200,LIG디펜스앤에어로스페이스,079550,2,OK,1881,0,net
KOSPI200,LG이노텍,011070,1,OK,1881,0,net
KOSPI200,현대로템,064350,2,OK,1881,0,net
KOSPI200,한화시스템,272210,2,OK,1668,0,net
KOSPI200,현대건설,000720,2,OK,1881,0,net
KOSPI200,KT,030200,1,OK,1881,0,net
KOSPI200,한국항공우주,047810,1,OK,1881,0,net
KOSPI200,DB손해보험,005830,2,OK,1881,0,net
KOSPI200,GS,078930,3,OK,1881,0,net
KOSPI200,삼양식품,003230,3,OK,1881,0,net
KOSPI200,현대오토에버,307950,0,OK,1824,0,net
KOSPI200,한국금융지주,071050,0,OK,1881,0,net
KOSPI200,카카오뱅크,323410,0,OK,1238,0,net
KOSPI200,크래프톤,259960,0,OK,1236,0,net
KOSPI200,대한항공,003490,2,OK,1881,0,net
KOSPI200,NH투자증권,005940,0,OK,1881,0,net
KOSPI200,삼성에피스홀딩스,0126Z0,판정불가,데이터 부족,188,0,188봉(220봉 워밍업 미달)
KOSPI200,LS,006260,5,OK,1881,0,net
KOSPI200,포스코인터내셔널,047050,1,OK,1881,0,net
KOSPI200,HD현대마린솔루션,443060,1,OK,563,0,net
KOSPI200,삼성E&A,028050,2,OK,1881,0,net
KOSPI200,한진칼,180640,1,OK,1881,0,net
KOSPI200,아모레퍼시픽,090430,1,OK,1881,0,net
KOSPI200,이수페타시스,007660,2,OK,1881,0,net
KOSPI200,한국타이어앤테크놀로지,161390,2,OK,1881,0,net
KOSPI200,삼성증권,016360,5,OK,1881,0,net
KOSPI200,하이브,352820,1,OK,1441,0,net
KOSPI200,한화솔루션,009830,2,OK,1881,0,net
KOSPI200,대우건설,047040,1,OK,1881,0,net
KOSPI200,LG씨엔에스,064400,0,OK,384,0,net
KOSPI200,키움증권,039490,0,OK,1881,0,net
KOSPI200,한화,000880,5,OK,1881,0,net
KOSPI200,코웨이,021240,0,OK,1881,0,net
KOSPI200,SK바이오팜,326030,0,OK,1511,0,net
KOSPI200,LG유플러스,032640,1,OK,1881,0,net
KOSPI200,HD건설기계,267270,2,OK,1881,0,net
KOSPI200,카카오페이,377300,0,OK,1179,2,net
KOSPI200,한미약품,128940,1,OK,1881,0,net
KOSPI200,유한양행,000100,2,OK,1878,3,net
KOSPI200,산일전기,062040,0,OK,507,0,net
KOSPI200,두산밥캣,241560,0,OK,1881,0,net
KOSPI200,엘앤에프,066970,1,OK,1881,0,net
KOSPI200,대한전선,001440,0,OK,1864,17,net
KOSPI200,삼성카드,029780,0,OK,1881,0,net
KOSPI200,JB금융지주,175330,1,OK,1881,0,net
KOSPI200,OCI홀딩스,010060,1,OK,1861,20,net
KOSPI200,오리온,271560,0,OK,1881,0,net
KOSPI200,한화생명,088350,0,OK,1881,0,net
KOSPI200,NC,036570,2,OK,1881,0,net
KOSPI200,LG디스플레이,034220,1,OK,1881,0,net
KOSPI200,LG생활건강,051900,1,OK,1881,0,net
KOSPI200,BNK금융지주,138930,1,OK,1881,0,net
KOSPI200,두산로보틱스,454910,1,OK,707,0,net
KOSPI200,SKC,011790,3,OK,1881,0,net
KOSPI200,한전기술,052690,4,OK,1881,0,net
KOSPI200,현대해상,001450,1,OK,1881,0,net
KOSPI200,DB하이텍,000990,2,OK,1881,0,net
KOSPI200,현대제철,004020,5,OK,1881,0,net
KOSPI200,KCC,002380,2,OK,1866,15,net
KOSPI200,한화엔진,082740,5,OK,1881,0,net
KOSPI200,신세계,004170,0,OK,1881,0,net
KOSPI200,한국콜마,161890,3,OK,1881,0,net
KOSPI200,CJ,001040,3,OK,1881,0,net
KOSPI200,한온시스템,018880,0,OK,1881,0,net
KOSPI200,한국가스공사,036460,0,OK,1881,0,net
KOSPI200,코스맥스,192820,4,OK,1881,0,net
KOSPI200,포스코DX,022100,2,OK,1881,0,net
KOSPI200,영원무역,111770,2,OK,1881,0,net
KOSPI200,금호석유화학,011780,0,OK,1881,0,net
KOSPI200,강원랜드,035250,0,OK,1881,0,net
KOSPI200,에스원,012750,0,OK,1881,0,net
KOSPI200,넷마블,251270,0,OK,1881,0,net
KOSPI200,한올바이오파마,009420,1,OK,1881,0,net
KOSPI200,한미사이언스,008930,1,OK,1881,0,net
KOSPI200,팬오션,028670,1,OK,1881,0,net
KOSPI200,SK바이오사이언스,302440,0,OK,1337,0,net
KOSPI200,롯데쇼핑,023530,0,OK,1881,0,net
KOSPI200,iM금융지주,139130,2,OK,1881,0,net
KOSPI200,현대엘리베이터,017800,1,OK,1881,0,net
KOSPI200,CJ제일제당,097950,1,OK,1881,0,net
KOSPI200,DL이앤씨,375500,0,OK,1372,0,net
KOSPI200,달바글로벌,483650,0,OK,312,0,net
KOSPI200,DN오토모티브,007340,2,OK,1874,7,net
KOSPI200,농심,004370,1,OK,1881,0,net
KOSPI200,에코프로머티,450080,1,OK,677,0,net
KOSPI200,동서,026960,2,OK,1881,0,net
KOSPI200,BGF리테일,282330,0,OK,1881,0,net
KOSPI200,F&F,383220,0,OK,1290,3,net
KOSPI200,롯데케미칼,011170,1,OK,1881,0,net
KOSPI200,에스엘,005850,0,OK,1849,32,net
KOSPI200,HL만도,204320,3,OK,1881,0,net
KOSPI200,롯데지주,004990,0,OK,1881,0,net
KOSPI200,한국앤컴퍼니,000240,0,OK,1881,0,net
KOSPI200,풍산,103140,0,OK,1881,0,net
KOSPI200,GS리테일,007070,1,OK,1864,17,net
KOSPI200,제일기획,030000,1,OK,1881,0,net
KOSPI200,미스토홀딩스,081660,0,OK,1881,0,net
KOSPI200,한솔케미칼,014680,2,OK,1881,0,net
KOSPI200,영원무역홀딩스,009970,1,OK,1881,0,net
KOSPI200,금호타이어,073240,1,OK,1881,0,net
KOSPI200,이수스페셜티케미컬,457190,0,OK,784,8,net
KOSPI200,아모레퍼시픽홀딩스,002790,0,OK,1881,0,net
KOSPI200,씨에스윈드,112610,1,OK,1881,0,net
KOSPI200,한전KPS,051600,3,OK,1881,0,net
KOSPI200,이마트,139480,1,OK,1881,0,net
KOSPI200,현대백화점,069960,2,OK,1881,0,net
KOSPI200,HD현대마린엔진,071970,2,OK,1880,1,net
KOSPI200,코오롱인더,120110,0,OK,1881,0,net
KOSPI200,호텔신라,008770,5,OK,1881,0,net
KOSPI200,동원산업,006040,2,OK,1877,4,net
KOSPI200,CJ대한통운,000120,0,OK,1881,0,net
KOSPI200,현대위아,011210,5,OK,1881,0,net
KOSPI200,오리온홀딩스,001800,0,OK,1881,0,net
KOSPI200,효성티앤씨,298020,0,OK,1881,0,net
KOSPI200,녹십자,006280,0,OK,1881,0,net
KOSPI200,세아베스틸지주,001430,2,OK,1881,0,net
KOSPI200,대웅제약,069620,1,OK,1881,0,net
KOSPI200,후성,093370,1,OK,1881,0,net
KOSPI200,오뚜기,007310,0,OK,1881,0,net
KOSPI200,롯데웰푸드,280360,0,OK,1881,0,net
KOSPI200,SK아이이테크놀로지,361610,1,OK,1300,0,net
KOSPI200,한일시멘트,300720,2,OK,1878,3,net
KOSPI200,한국카본,017960,1,OK,1881,0,net
KOSPI200,더블유게임즈,192080,3,OK,1881,0,net
KOSPI200,롯데정밀화학,004000,1,OK,1881,0,net
KOSPI200,하이트진로,000080,0,OK,1881,0,net
KOSPI200,DL,000210,1,OK,1864,17,net
KOSPI200,대웅,003090,1,OK,1880,1,net
KOSPI200,태광산업,003240,0,OK,1881,0,net
KOSPI200,파라다이스,034230,2,OK,1881,0,net
KOSPI200,종근당,185750,3,OK,1881,0,net
KOSPI200,한샘,009240,2,OK,1881,0,net
KOSPI200,롯데칠성,005300,1,OK,1878,3,net
KOSPI200,SK케미칼,285130,3,OK,1881,0,net
KOSPI200,지역난방공사,071320,2,OK,1881,0,net
KOSPI200,HS효성첨단소재,298050,4,OK,1881,0,net
KOSPI200,에스디바이오센서,137310,0,OK,1253,0,net
KOSPI200,OCI,456040,0,OK,793,0,net
KOSPI200,영풍,000670,2,OK,1881,0,net
KOSPI200,TKG휴켐스,069260,2,OK,1881,0,net
KOSPI200,동원시스템즈,014820,0,OK,1881,0,net
KOSPI200,미원에스씨,268280,2,OK,1881,0,net
KOSPI200,대상,001680,1,OK,1881,0,net
KOSPI200,미원상사,002840,0,OK,1869,12,net
KOSPI200,대한유화,006650,1,OK,1881,0,net
KOSPI200,한화머시너리앤서비스홀딩스,0220W0,판정불가,데이터 부족,5,0,5봉(220봉 워밍업 미달)
KOSPI200,코스모화학,005420,0,OK,1871,10,net
KOSPI200,아세아,002030,1,OK,1881,0,net
KOSPI200,세아제강지주,003030,1,OK,1881,0,net
KOSPI200,율촌화학,008730,4,OK,1881,0,net
